time_s,seq_id,EMG_RH_Env,EMG_LH_Env,L_Angle,R_Angle,L_Torque,R_Torque,Squat_Ph,User_intent
155.579293,16001,0.01226528,0.01612384,-4.40917969,-0.03662109,0.00000000,0.00000000,0.00000000,0.00000000
155.579293,16002,0.01199366,0.01605047,-4.03564453,0.35888672,0.00000000,0.02505486,0.00000000,0.00000000
155.579293,16003,0.01084195,0.01623384,-3.66210938,0.75439453,0.00000000,0.05266515,0.00000000,0.00000000
155.609913,16004,0.00966281,0.01759812,-3.22265625,1.12792969,0.00000000,0.07873926,0.00000000,0.00000000
155.609913,16005,0.00955264,0.01794441,-2.82714844,1.54541016,0.00000000,0.10787690,0.00000000,0.00000000
155.609913,16006,0.00899383,0.01890417,-2.40966797,1.94091797,0.00000000,0.13547572,0.00000000,0.00000000
155.641952,16007,0.01090043,0.02010776,-1.97021484,2.31445312,0.00000000,0.16153537,0.00000000,0.00000000
155.641952,16008,0.01027418,0.02227513,-1.50878906,2.64404297,0.00000000,0.18452351,0.00000000,0.00000000
155.641952,16009,0.01124423,0.02504439,-1.04736328,3.03955078,0.00000000,0.21210115,0.00000000,0.00000000
155.673725,16010,0.01280892,0.02490968,-0.58593750,3.39111328,0.00000000,0.23660617,0.00000000,0.00000000
155.673725,16011,0.01702541,0.02991149,-0.03662109,3.74267578,0.00000000,0.26110226,0.00000000,0.00000000
155.673725,16012,0.01806444,0.03388455,0.49072266,4.13818359,0.03425849,0.28864861,0.00000000,0.00000000
155.705871,16013,0.01561746,0.03555691,1.04003906,4.62158203,0.07260444,0.32229754,0.00000000,0.00000000
155.705871,16014,0.01264954,0.03636406,1.61132812,5.08300781,0.11247709,0.35439557,0.00000000,0.00000000
155.705871,16015,0.01157048,0.03456253,2.11669922,5.56640625,0.14773986,0.38799742,0.00000000,0.00000000
155.705871,16016,0.01161422,0.03192241,2.64404297,6.13769531,0.18452351,0.42767289,0.00000000,0.00000000
155.743385,16017,0.01288789,0.03154016,3.17138672,6.68701172,0.22129151,0.46578237,0.00000000,0.00000000
155.743385,16018,0.01380290,0.02949000,3.74267578,7.25830078,0.26110226,0.50537074,0.00000000,0.00000000
155.743385,16019,0.01913391,0.03171853,4.29199219,7.82958984,0.29935744,0.54490888,0.00000000,0.00000000
155.773959,16020,0.02115429,0.03536150,4.86328125,8.37890625,0.33911353,0.58287525,0.00000000,0.00000000
155.773959,16021,0.02083283,0.03945090,5.43457031,8.95019531,0.37883592,0.62230343,0.00000000,0.00000000
155.773959,16022,0.01691684,0.04134083,5.96191406,9.47753906,0.41546944,0.65864378,0.00000000,0.00000000
155.805173,16023,0.01462347,0.04097124,6.51123047,10.02685547,0.45359185,0.69643897,0.00000000,0.00000000
155.805173,16024,0.01591926,0.04546988,7.03857422,10.55419922,0.49015015,0.73266226,0.00000000,0.00000000
155.805173,16025,0.01969739,0.04688500,7.54394531,11.05957031,0.52514637,0.76731795,0.00000000,0.00000000
155.832736,16026,0.02543356,0.04609464,8.09326172,11.54296875,0.56313920,0.80041105,0.00000000,0.00000000
155.832736,16027,0.03233990,0.05227614,8.62060547,11.98242188,0.59956372,0.83044636,0.00000000,0.00000000
155.832736,16028,0.03964953,0.05565141,9.19189453,12.42187500,0.63896614,0.86043274,0.00000000,0.00000000
155.868007,16029,0.03992396,0.06110261,9.80712891,12.94921875,0.68132842,0.89634955,0.00000000,0.00000000
155.868007,16030,0.04096697,0.07812571,10.46630859,13.41064453,0.72662926,0.92771447,0.00000000,0.00000000
155.868007,16031,0.06545334,0.09238573,11.12548828,13.93798828,0.77183396,0.96348637,0.00000000,0.00000000
155.868007,16032,0.10369740,0.10600562,11.76269531,14.55322266,0.81543469,1.00511682,0.00000000,0.00000000
